Mean	DLRS	GCWave
ID0001	-0.00063	0.17667	-0.06808
ID0002	-0.00084	0.18138	-0.0768
ID0003	0.0079	0.18074	-0.06738
ID0004	-0.00224	0.16965	-0.05945
ID0005	-0.02154	0.18969	-0.07105
ID0006	-0.06923	0.24733	-0.03375
ID0007	-0.02867	0.15748	-0.02408
ID0008	-0.07071	0.24785	0.05758
ID0009	-0.0106	0.14341	-0.03002
ID0010	-0.03219	0.15326	-0.02218
ID0011	-0.0264	0.16522	-0.02622
ID0012	-0.08245	0.27896	-0.02895
ID0013	-0.01517	0.1856	-0.05715
ID0014	0.00992	0.1547	-0.04445
ID0015	0.00411	0.14291	-0.02305
ID0016	-0.0063	0.14204	-0.02585
ID0017	-0.01189	0.14207	-0.0285
ID0018	-0.0058	0.14209	-0.0246
ID0019	-0.00235	0.14173	-0.03797
ID0020	-0.00101	0.14642	-0.04633
ID0021	-0.00759	0.15265	-0.0493
ID0022	-0.00723	0.14737	-0.02902
ID0023	-0.00959	0.13307	-0.02745
ID0024	-0.01212	0.15119	-0.02562
ID0025	-0.00655	0.14188	-0.02765
ID0026	-0.01306	0.15212	-0.03445
ID0027	0.00095	0.15321	-0.04845
ID0028	-0.01437	0.15596	-0.04118
ID0029	-0.02301	0.14962	-0.03173
ID0030	-0.00925	0.14589	-0.03192
ID0031	0.00198	0.15598	-0.04402
ID0032	-0.00152	0.15066	-0.0363
ID0033	-0.00181	0.1481	-0.03505
ID0034	-0.00529	0.1598	-0.04382
ID0035	-0.00347	0.14806	-0.03607
ID0036	0.0018	0.15443	-0.05965
ID0037	-0.01137	0.15555	-0.05525
ID0038	-0.00829	0.16302	-0.03882
ID0039	0.00588	0.152	-0.04
ID0040	-0.00991	0.16013	-0.02562
ID0041	-0.00765	0.13853	-0.02593
ID0042	-0.01397	0.15475	-0.03425
ID0043	-0.02053	0.15837	-0.03715
ID0044	-0.00766	0.1595	-0.04667
ID0045	-0.01038	0.15172	-0.05788
ID0046	9e-04	0.13785	-0.03152
ID0047	0.00127	0.13494	-0.03195
ID0048	-0.01039	0.14667	-0.03273
ID0049	-0.01809	0.14755	-0.03152
ID0050	-0.02021	0.1597	-0.0369
ID0051	-0.00968	0.15815	-0.0385
ID0052	-0.02369	0.15812	-0.0355
ID0053	-0.02198	0.15785	-0.0458
ID0054	-0.01498	0.16634	-0.04292
ID0055	-0.00675	0.15099	-0.04962
ID0056	-0.01445	0.16123	-0.03748
ID0057	-0.02532	0.15917	0.0177
ID0058	-0.00826	0.15727	-0.04015
ID0059	-0.01137	0.14159	-0.0331
ID0060	-0.01308	0.152	-0.04325
ID0061	-0.01928	0.15809	-0.04305
ID0062	-0.01804	0.16439	-0.02978
ID0063	-0.01077	0.16845	-0.0471
ID0064	-0.01093	0.17118	-0.04833
ID0065	-0.017	0.16475	-0.04165
ID0066	-0.00821	0.16125	-0.0363
ID0067	-0.02988	0.18214	-0.0291
ID0068	-0.01185	0.16189	-0.03832
ID0069	-0.00676	0.17544	-0.05575
ID0070	-0.0132	0.16937	-0.0413
ID0071	-0.01432	0.16527	-0.04438
ID0072	0.00172	0.15928	-0.05255
ID0073	-0.01867	0.17164	-0.0458
ID0074	-0.00689	0.16957	-0.047
ID0075	-0.00071	0.18336	-0.06705
ID0076	-0.01425	0.17297	-0.04552
ID0077	-0.01329	0.20333	-0.0724
ID0078	-0.01884	0.18818	-0.04182
ID0079	-0.00543	0.17271	-0.05688
ID0080	-0.01455	0.18596	-0.06978
ID0081	-0.00746	0.16319	-0.04142
ID0082	0.00057	0.16051	-0.04628
ID0083	-0.01083	0.1612	-0.0423
ID0084	-0.0138	0.16177	-0.03835
ID0085	-0.02191	0.16928	-0.04378
ID0086	-0.02068	0.19687	-0.0626
ID0087	-0.01032	0.18888	-0.05945
ID0088	-0.02484	0.18797	-0.0557
ID0089	-0.0185	0.18551	-0.05035
ID0090	-0.01537	0.18199	-0.0589
ID0091	-0.01267	0.17707	-0.0495
ID0092	-0.01423	0.18148	-0.04958
ID0093	-0.01245	0.18193	-0.0503
ID0094	-0.01238	0.17708	-0.04615
ID0095	-0.0113	0.17815	-0.05477
ID0096	-0.01451	0.1805	-0.05522
ID0097	-0.0177	0.17688	-0.04275
ID0098	-0.02793	0.20433	-0.0391
ID0099	-0.01983	0.19322	-0.04715
ID0100	-0.02191	0.19431	-0.05315
