

Cohort distribution statistics for LRR-stats:
            Mean     DLRS    GCWave
   Mean        0   0.0663    -1e-04
     SD   0.0031   0.0051    0.0093
    Min  -0.0076   0.0563   -0.0116
     Q1  -0.0018   0.0626   -0.0091
 Median        0   0.0654   -0.0076
     Q3   0.0017   0.0697    0.0089
    Max   0.0085   0.0815    0.0147
     LB  -0.0071    0.052   -0.0361
     UB    0.007   0.0804     0.036
   -2SD  -0.0062   0.0562   -0.0188
   +2SD   0.0062   0.0764    0.0185
   -3SD  -0.0092   0.0511   -0.0282
   +3SD   0.0092   0.0815    0.0279
  Low1%  -0.0076   0.0563   -0.0115
   Hi1%   0.0069   0.0787    0.0115
