Mean	DLRS	GCWave
ID0001	-0.00183	0.06129	0.00824
ID0002	-0.00215	0.06053	-0.00781
ID0003	0.0033	0.06556	0.00858
ID0004	-0.00191	0.06544	0.00894
ID0005	-0.00071	0.06871	-0.01155
ID0007	-0.00227	0.06125	-0.00894
ID0009	0.00579	0.06533	-0.00919
ID0010	-0.00233	0.06685	0.01052
ID0011	0.00564	0.07307	0.01154
ID0013	-0.00011	0.07192	-0.00887
ID0014	0.00534	0.06004	-0.00886
ID0015	0.0085	0.06467	-0.00824
ID0016	0.00055	0.06016	0.00918
ID0017	-0.00757	0.06576	-0.00821
ID0018	0.00095	0.06483	-0.00936
ID0019	-0.00037	0.07065	-0.00949
ID0020	0.00259	0.06491	0.00915
ID0021	-0.00139	0.06052	-0.00792
ID0022	0.00028	0.06264	0.01062
ID0023	0.0023	0.06076	0.01469
ID0024	-0.00506	0.06275	-0.00869
ID0025	-0.00163	0.06315	0.00829
ID0026	-0.00298	0.06434	0.00817
ID0027	0.00204	0.06155	-0.00773
ID0028	-0.00024	0.06455	0.00924
ID0029	-0.0061	0.06223	-0.00955
ID0030	-0.0017	0.0707	-0.01007
ID0031	-0.00333	0.06388	-0.00857
ID0032	0.00154	0.07097	0.00846
ID0033	0.00168	0.06884	-0.00928
ID0034	-0.00167	0.08148	-0.00917
ID0035	-0.00153	0.06331	-0.00834
ID0036	-7e-05	0.06584	0.00724
ID0037	-0.00091	0.06789	0.00894
ID0038	0.00099	0.06601	-0.00884
ID0039	0.00018	0.05826	-0.00773
ID0040	-7e-05	0.06511	0.01041
ID0041	0.00143	0.06317	0.00814
ID0042	0.00051	0.0677	-0.00913
ID0043	-0.00437	0.07294	0.00995
ID0044	0.002	0.07865	0.00891
ID0045	0.00052	0.062	0.00974
ID0046	0.00054	0.05917	0.00829
ID0047	0.00672	0.05829	0.01058
ID0048	-0.00152	0.05925	0.00812
ID0049	-0.00295	0.06367	-0.00906
ID0050	-0.0028	0.06407	0.00806
ID0051	0.0043	0.07286	-0.00869
ID0052	-0.00242	0.06895	-0.01049
ID0053	3e-05	0.06583	-0.01109
ID0054	0.00164	0.07599	0.01054
ID0055	0.00048	0.06285	-0.01098
ID0056	7e-05	0.07499	-0.0076
ID0057	-0.00415	0.06544	-0.00836
ID0058	0.00269	0.07663	0.00811
ID0059	-0.00142	0.06318	0.00789
ID0060	-0.0011	0.07507	-0.00956
ID0061	0.00349	0.06996	0.01051
ID0062	-0.00172	0.06869	-0.01065
ID0063	0.00053	0.06447	-0.0084
ID0064	-0.00078	0.06752	-0.00961
ID0065	-0.00408	0.06194	-0.00872
ID0066	0.00412	0.06928	0.00947
ID0067	-0.00038	0.07001	0.00918
ID0068	0.00249	0.06973	-0.00971
ID0069	0.00072	0.06183	0.0086
ID0070	-0.00344	0.06887	0.00932
ID0071	-1e-04	0.06284	-0.00921
ID0072	0.00452	0.05914	-0.0087
ID0073	-0.00302	0.07137	-0.00917
ID0074	0.00367	0.06229	0.00832
ID0075	-1e-05	0.06068	0.00861
ID0076	-0.00246	0.06258	0.01114
ID0077	-0.00045	0.06685	0.00834
ID0078	-0.00265	0.076	0.00953
ID0079	-0.00569	0.06033	-0.00928
ID0080	-0.00127	0.05632	-0.00863
ID0081	0.00318	0.06297	0.00888
ID0082	0.00491	0.06225	0.00888
ID0083	0.00092	0.06163	-0.00765
ID0084	9e-04	0.07129	0.00961
ID0085	-0.00497	0.06655	0.00977
ID0086	-0.00659	0.06384	-0.00745
ID0087	0.00348	0.07206	-0.00909
ID0088	-0.00507	0.06962	-0.01071
ID0089	0.00074	0.07672	-0.00992
ID0090	-0.00219	0.06555	-0.01061
ID0091	9e-05	0.06896	0.0108
ID0092	0.00373	0.06642	0.01056
ID0093	-0.00178	0.06638	0.01076
ID0094	0.00078	0.06379	0.00988
ID0095	0.0011	0.063	-0.00851
ID0096	-0.00143	0.0727	-0.00796
ID0097	0.00148	0.07086	-0.00956
ID0098	0.00221	0.07123	0.00877
ID0099	0.00687	0.07098	-0.00929
ID0100	0.00223	0.06788	0.00859
