

Cohort distribution statistics for LRR-stats:
            Mean     DLRS    GCWave
   Mean  -0.0132   0.1662   -0.0415
     SD   0.0138   0.0229     0.017
    Min  -0.0824   0.1331   -0.0768
     Q1   -0.018    0.152   -0.0496
 Median  -0.0116   0.1609   -0.0421
     Q3  -0.0067   0.1771    -0.033
    Max   0.0099    0.279    0.0576
     LB  -0.0351   0.1143   -0.0745
     UB   0.0103   0.2148   -0.0081
   -2SD  -0.0407   0.1204   -0.0755
   +2SD   0.0144    0.212   -0.0076
 -3.5SD  -0.0614    0.086    -0.101
 +3.5SD   0.0351   0.2464    0.0179
  Low1%  -0.0824   0.1331   -0.0768
   Hi1%   0.0079   0.2478    0.0177
