Mean (Av)	Mean (SD)	DLRS (Av)	DLRS (SD)	GCWave (Av)	GCWave (SD)
PLT0001	-0.028	0.031	0.191	0.043	-0.038	0.037
PLT0002	-0.015	NA	0.186	NA	-0.057	NA
PLT0003	-0.005	0.006	0.145	0.006	-0.032	0.009
PLT0004	-0.007	0.008	0.152	0.004	-0.041	0.009
PLT0005	-0.008	0.008	0.15	0.009	-0.036	0.009
PLT0006	-0.016	0.006	0.157	0.006	-0.036	0.017
PLT0007	-0.013	0.008	0.168	0.007	-0.043	0.008
PLT0008	-0.011	0.007	0.174	0.013	-0.051	0.012
PLT0009	-0.015	0.004	0.183	0.006	-0.053	0.006
PLT0010	-0.023	0.004	0.197	0.006	-0.046	0.007
