grp	QCfail	call.rate	heterozygosity
ID0001	1	0	0.973138609988264	0.242127830631113
ID0002	1	0	0.965640891902464	0.227533589899399
ID0003	1	0	0.973138609988264	0.220755728259413
ID0004	1	0	0.966749250228191	0.212301052063663
ID0005	1	0	0.96401095318816	0.213242256188286
ID0006	1	0	0.962576607119572	0.222365212679491
ID0007	1	0	0.962772199765289	0.233696756280897
ID0008	1	0	0.952340591993741	0.231053604436229
ID0009	1	0	0.967140435519624	0.217810435486046
ID0010	1	0	0.964467336028165	0.240586764010005
ID0011	1	0	0.971443473725388	0.216577181208054
ID0012	1	0	0.95410092580519	0.227483941506082
ID0013	1	0	0.963554570348155	0.224507747479532
ID0014	1	0	0.973203807536837	0.230186909626851
ID0015	1	0	0.972030251662538	0.234422161110738
ID0016	1	0	0.966749250228191	0.230172646344753
ID0017	1	0	0.967205633068197	0.23417593528817
ID0018	1	0	0.972682227148259	0.221462564515048
ID0019	1	0	0.973920980571131	0.2292810282501
ID0020	1	0	0.97359499282827	0.198620504921985
ID0021	1	0	0.973464597731125	0.203871140580001
ID0022	1	0	0.966032077193897	0.220962408044813
ID0023	1	0	0.96701004042248	0.228290183387271
ID0024	1	0	0.966879645325336	0.235536075522589
ID0025	1	0	0.973920980571131	0.222988351854331
ID0026	1	0	0.965706089451037	0.224952741020794
ID0027	1	0	0.973529795279698	0.21785427270292
ID0028	1	0	0.972421436953971	0.216895742541066
ID0029	1	0	0.967075237971052	0.222207240612149
ID0030	1	0	0.967662015908202	0.191887885729686
ID0031	1	0	0.973790585473986	0.213577932512051
ID0032	1	0	0.966618855131047	0.21442061243761
ID0033	1	0	0.973334202633981	0.216893294929332
ID0034	1	0	0.967205633068197	0.209976407145265
ID0035	1	0	0.973203807536837	0.224559523011992
ID0036	1	0	0.966488460033903	0.213977334052887
ID0037	1	0	0.972617029599687	0.220538946239442
ID0038	1	0	0.968965966879645	0.21827479477863
ID0039	1	0	0.973660190376842	0.216753716351949
ID0040	1	0	0.973138609988264	0.227656438429586
ID0041	1	0	0.974181770765419	0.224267166376656
ID0042	1	0	0.97359499282827	0.198620504921985
ID0043	1	0	0.967205633068197	0.228378833838895
ID0044	1	0	0.97209544921111	0.23682092555332
ID0045	1	0	0.96551049680532	0.244378418529273
ID0046	1	0	0.966684052679619	0.224590274499224
ID0047	1	0	0.972421436953971	0.225276567214214
ID0048	1	0	0.965054113965315	0.238616403188758
ID0049	1	0	0.966553657582475	0.224013490725126
ID0050	1	0	0.965184509062459	0.248784112402054
ID0051	1	0	0.972812622245404	0.226258293680048
ID0052	1	0	0.966553657582475	0.20849915682968
ID0053	1	0	0.96609727474247	0.207720340126873
ID0054	1	0	0.972877819793976	0.244471250502614
ID0055	1	0	0.973986178119703	0.219961175446817
ID0056	1	0	0.96609727474247	0.200904305574302
ID0057	1	0	0.965445299256748	0.214411129119395
ID0058	1	0	0.966358064936758	0.2178518418567
ID0059	1	0	0.966553657582475	0.235817875210793
ID0060	1	0	0.965966879645325	0.217940064794816
ID0061	2	0	0.973334202633981	0.220778350860741
ID0062	2	0	0.964662928673882	0.232495268991619
ID0063	2	0	0.964076150736732	0.215594779197944
ID0064	2	0	0.964793323771026	0.21894850655494
ID0065	2	0	0.964467336028165	0.225444466977625
ID0066	2	0	0.971965054113965	0.237456399248726
ID0067	2	0	0.964467336028165	0.21821131616305
ID0068	2	0	0.971965054113965	0.23806010195868
ID0069	2	0	0.972421436953971	0.213074086490111
ID0070	2	0	0.965249706611031	0.214657210401891
ID0071	2	0	0.965445299256748	0.224878444084279
ID0072	2	0	0.971965054113965	0.215320633217065
ID0073	2	0	0.969878732559656	0.219615488034418
ID0074	2	0	0.970465510496805	0.237420221699698
ID0075	2	0	0.964858521319598	0.232853571187242
ID0076	2	0	0.964793323771026	0.236248141640762
ID0077	2	0	0.970726300691094	0.214789441869837
ID0078	2	0	0.970465510496805	0.218743701713134
ID0079	2	0	0.966488460033903	0.236171073934161
ID0080	2	0	0.970465510496805	0.226200873362445
ID0081	2	0	0.971704263919677	0.240271068169619
ID0082	2	0	0.972486634502543	0.220501474926254
ID0083	2	0	0.964858521319598	0.226974795594297
ID0084	2	0	0.965901682096753	0.221937225784678
ID0085	2	0	0.965706089451037	0.221307048339184
ID0086	2	0	0.963228582605294	0.239204007039394
ID0087	2	0	0.969683139913939	0.20681772339138
ID0088	2	0	0.962902594862433	0.243956936827138
ID0089	2	0	0.971378276176816	0.220283240485939
ID0090	2	0	0.969683139913939	0.234586162845425
ID0091	2	0	0.971443473725388	0.225234899328859
ID0092	2	0	0.963228582605294	0.215039935020983
ID0093	2	0	0.963554570348155	0.228296907774545
ID0094	2	0	0.964271743382449	0.214063556457066
ID0095	2	0	0.971378276176816	0.215987650177864
ID0096	2	0	0.96401095318816	0.224198566211281
ID0097	2	0	0.970400312948233	0.225006718624026
ID0098	2	0	0.968639979136784	0.216194386484485
ID0099	2	0	0.970530708045377	0.222961171570603
ID0100	2	0	0.970987090885383	0.221110588867253
