id	plate	well
ID0001	PLT0001	R01C01
ID0002	PLT0001	R02C01
ID0003	PLT0001	R03C01
ID0004	PLT0001	R04C01
ID0005	PLT0001	R05C01
ID0006	PLT0001	R06C01
ID0007	PLT0001	R01C02
ID0008	PLT0001	R02C02
ID0009	PLT0001	R03C02
ID0010	PLT0001	R04C02
ID0011	PLT0001	R05C02
ID0012	PLT0001	R06C02
ID0013	PLT0002	R01C01
ID0014	PLT0003	R01C01
ID0015	PLT0003	R02C01
ID0016	PLT0003	R03C01
ID0017	PLT0003	R04C01
ID0018	PLT0003	R05C01
ID0019	PLT0003	R06C01
ID0020	PLT0003	R01C02
ID0021	PLT0003	R02C02
ID0022	PLT0003	R03C02
ID0023	PLT0003	R04C02
ID0024	PLT0003	R05C02
ID0025	PLT0003	R06C02
ID0026	PLT0004	R01C01
ID0027	PLT0004	R02C01
ID0028	PLT0004	R03C01
ID0029	PLT0004	R04C01
ID0030	PLT0004	R05C01
ID0031	PLT0004	R06C01
ID0032	PLT0004	R01C02
ID0033	PLT0004	R02C02
ID0034	PLT0004	R03C02
ID0035	PLT0004	R04C02
ID0036	PLT0004	R05C02
ID0037	PLT0004	R06C02
ID0038	PLT0005	R01C01
ID0039	PLT0005	R02C01
ID0040	PLT0005	R03C01
ID0041	PLT0005	R04C01
ID0042	PLT0005	R05C01
ID0043	PLT0005	R06C01
ID0044	PLT0005	R01C02
ID0045	PLT0005	R02C02
ID0046	PLT0005	R03C02
ID0047	PLT0005	R04C02
ID0048	PLT0005	R05C02
ID0049	PLT0005	R06C02
ID0050	PLT0006	R01C01
ID0051	PLT0006	R02C01
ID0052	PLT0006	R03C01
ID0053	PLT0006	R04C01
ID0054	PLT0006	R05C01
ID0055	PLT0006	R06C01
ID0056	PLT0006	R01C02
ID0057	PLT0006	R02C02
ID0058	PLT0006	R03C02
ID0059	PLT0006	R04C02
ID0060	PLT0006	R05C02
ID0061	PLT0006	R06C02
ID0062	PLT0007	R01C01
ID0063	PLT0007	R02C01
ID0064	PLT0007	R03C01
ID0065	PLT0007	R04C01
ID0066	PLT0007	R05C01
ID0067	PLT0007	R06C01
ID0068	PLT0007	R01C02
ID0069	PLT0007	R02C02
ID0070	PLT0007	R03C02
ID0071	PLT0007	R04C02
ID0072	PLT0007	R05C02
ID0073	PLT0007	R06C02
ID0074	PLT0008	R01C01
ID0075	PLT0008	R02C01
ID0076	PLT0008	R03C01
ID0077	PLT0008	R04C01
ID0078	PLT0008	R05C01
ID0079	PLT0008	R06C01
ID0080	PLT0008	R01C02
ID0081	PLT0008	R02C02
ID0082	PLT0008	R03C02
ID0083	PLT0008	R04C02
ID0084	PLT0008	R05C02
ID0085	PLT0008	R06C02
ID0086	PLT0009	R01C01
ID0087	PLT0009	R02C01
ID0088	PLT0009	R03C01
ID0089	PLT0009	R04C01
ID0090	PLT0009	R05C01
ID0091	PLT0009	R06C01
ID0092	PLT0009	R01C02
ID0093	PLT0009	R02C02
ID0094	PLT0009	R03C02
ID0095	PLT0009	R04C02
ID0096	PLT0009	R05C02
ID0097	PLT0009	R06C02
ID0098	PLT0010	R01C01
ID0099	PLT0010	R02C01
ID0100	PLT0010	R03C01
