id	plate
ID0001	2
ID0002	2
ID0003	1
ID0004	2
ID0005	1
ID0006	2
ID0007	1
ID0008	1
ID0009	1
ID0010	2
ID0011	1
ID0012	2
ID0013	2
ID0014	2
ID0015	1
ID0016	2
ID0017	1
ID0018	2
ID0019	1
ID0020	2
ID0021	1
ID0022	1
ID0023	2
ID0024	1
ID0025	1
ID0026	2
ID0027	1
ID0028	2
ID0029	2
ID0030	1
ID0031	2
ID0032	1
ID0033	2
ID0034	1
ID0035	2
ID0036	1
ID0037	1
ID0038	1
ID0039	2
ID0040	2
ID0041	2
ID0042	1
ID0043	1
ID0044	2
ID0045	1
ID0046	2
ID0047	1
ID0048	2
ID0049	1
ID0050	1
ID0051	2
ID0052	1
ID0053	2
ID0054	2
ID0055	2
ID0056	2
ID0057	2
ID0058	2
ID0059	1
ID0060	2
ID0061	1
ID0062	1
ID0063	2
ID0064	1
ID0065	2
ID0066	1
ID0067	2
ID0068	1
ID0069	1
ID0070	1
ID0071	1
ID0072	2
ID0073	1
ID0074	2
ID0075	1
ID0076	1
ID0077	2
ID0078	1
ID0079	2
ID0080	1
ID0081	2
ID0082	1
ID0083	1
ID0084	2
ID0085	1
ID0086	1
ID0087	2
ID0088	1
ID0089	2
ID0090	1
ID0091	2
ID0092	2
ID0093	2
ID0094	2
ID0095	1
ID0096	1
ID0097	1
ID0098	1
ID0099	2
ID0100	2
